Time,Action,Price,Amount,BTC_bought, PnL
2026-05-01 12:00:00+00:00,TAKE PROFIT,77755.12,4248.35,0.05464,60.34
2026-05-03 22:00:00+00:00,SWING_BUY,79071.89,9280.35,0.11737,BTC Bought
2026-05-03 23:00:00+00:00,STOP LOSS,78638.62,9229.5,0.11737,-50.85
2026-05-05 05:30:00+00:00,SWING_BUY,80965.55,6070.56,0.07498,BTC Bought
2026-05-05 22:30:00+00:00,STOP LOSS,81116.94,6081.91,0.07498,11.35
2026-05-10 22:30:00+00:00,SWING_BUY,82034.53,5918.21,0.07214,BTC Bought
2026-05-11 00:00:00+00:00,STOP LOSS,81664.3,5891.5,0.07214,-26.71
2026-05-13 01:00:00+00:00,SWING_BUY,81048.99,8121.84,0.10021,BTC Bought
2026-05-13 07:00:00+00:00,STOP LOSS,80888.81,8105.78,0.10021,-16.05
2026-05-14 14:00:00+00:00,SWING_BUY,80109.4,6655.66,0.08308,BTC Bought
2026-05-14 16:30:00+00:00,TAKE PROFIT,81890.34,3401.81,0.04154,73.98
2026-05-15 00:30:00+00:00,SWING_BUY,81506.09,5847.45,0.07174,BTC Bought
2026-05-15 04:30:00+00:00,STOP LOSS,80710.33,5790.36,0.07174,-57.09
2026-05-20 05:00:00+00:00,SWING_BUY,77091.84,7908.13,0.10258,BTC Bought
2026-05-20 13:00:00+00:00,STOP LOSS,77225.37,7921.83,0.10258,13.7
2026-05-21 01:00:00+00:00,SWING_BUY,77807.69,7676.64,0.09866,BTC Bought
2026-05-21 06:30:00+00:00,STOP LOSS,77536.78,7649.91,0.09866,-26.73
2026-05-23 07:30:00+00:00,DCA BUY,74516.73,500,0.00671
2026-05-23 18:00:00+00:00,SWING_BUY,75747.72,8113.34,0.10711,BTC Bought
2026-05-23 20:30:00+00:00,TAKE PROFIT,77188.0,4133.81,0.05356,77.13
2026-05-24 10:00:00+00:00,SWING_BUY,77131.98,8413.0,0.10907,BTC Bought
2026-05-24 14:00:00+00:00,STOP LOSS,76317.99,8324.21,0.10907,-88.78
2026-05-25 09:30:00+00:00,SWING_BUY,77517.0,8043.46,0.10376,BTC Bought
2026-05-25 20:00:00+00:00,STOP LOSS,77366.52,8027.84,0.10376,-15.61
2026-05-29 16:30:00+00:00,SWING_BUY,73927.65,4713.8,0.06376,BTC Bought
2026-05-29 18:30:00+00:00,STOP LOSS,73261.34,4671.32,0.06376,-42.49
